ingredient_symbol,ingredient_name,ingredient_class,form_description,price_usd_per_ton,price_year,price_region,price_source,first_author,pub_year,doi,notes
MCP,Monocalcium phosphate,mineral,Monocalcium phosphate - ~22% P / 16% Ca,700,2022-2024,USA,estimated,,,,"Standard phosphorus source for swine. Range $600-850/ton."
DCP,Dicalcium phosphate,mineral,Dicalcium phosphate - ~18.5% P / 22% Ca,600,2022-2024,USA,estimated,,,,"US range $500-750/ton."
SALT,Salt,mineral,Sodium chloride - ~99.9% NaCl,130,2022-2024,USA,estimated,,,,"US range $100-170/ton."
ZNO,Zinc oxide,mineral,Feed-grade zinc oxide - ~80% Zn,2500,2022-2024,Global,estimated,,,,"Used at low rates (~100 ppm Zn) or pharmacological (2000-3000 ppm) in nursery. Range $2000-3200/ton."
ZNSO4,Zinc sulfate monohydrate,mineral,Zinc sulfate monohydrate - ~35% Zn,900,2022-2024,Global,estimated,,,,"Alternative to ZnO. Good bioavailability. Range $700-1200/ton."
CUSO4,Copper sulfate pentahydrate,mineral,Copper sulfate pentahydrate - ~25% Cu,2000,2022-2024,Global,estimated,,,,"Used at 5-15 ppm nutritional or 100-250 ppm pharmacological. Range $1500-2800/ton."
FESO4,Ferrous sulfate monohydrate,mineral,Ferrous sulfate monohydrate - ~33% Fe,500,2022-2024,USA,estimated,,,,"Common iron source. Range $350-700/ton."
MNO,Manganous oxide,mineral,Manganous oxide - ~62% Mn,900,2022-2024,Global,estimated,,,,"Standard manganese source. Range $700-1100/ton."
SELEN,Sodium selenite,mineral,Sodium selenite - ~45% Se,25000,2022-2024,Global,estimated,,,,"Included at ~0.3 mg Se/kg diet (~0.7 g sodium selenite/ton). Very small inclusion rate."
SELENY,Selenium yeast,mineral,Organic selenium yeast - ~0.2% Se,40000,2022-2024,Global,estimated,,,,"Organic form; better retention in tissue. Included at ~1.5 g/ton. More expensive than inorganic."
KI,Potassium iodide,mineral,Potassium iodide - ~76% iodide,35000,2022-2024,Global,estimated,,,,"Very small inclusion rate (~1 mg I/kg diet). Unstable; often replaced by calcium iodate."
CAI,Calcium iodate,mineral,Calcium iodate - ~65% iodine,30000,2022-2024,Global,estimated,,,,"More stable than potassium iodide in premix. Very small inclusion rate."
NABICARB,Sodium bicarbonate,mineral,Sodium bicarbonate - ~99% NaHCO3,300,2022-2024,USA,estimated,,,,"Buffer for sow lactation diets. Range $200-400/ton."
VITA,Vitamin A supplement,vitamin,Retinyl acetate - 1000000 IU/g form,60000,2022-2024,Global,estimated,,,,"Commercial diluted form. Included at ~0.5-1 g/ton feed. Unstable in premix with Cu and high moisture."
VITD3,Vitamin D3 supplement,vitamin,Cholecalciferol - 500000 IU/g form,40000,2022-2024,Global,estimated,,,,"Commercial diluted form. Included at ~1-2 g/ton feed. Essential for Ca/P absorption."
VITE50,Vitamin E supplement,vitamin,DL-alpha-tocopherol acetate - 50% form,4500,2022-2024,Global,estimated,,,,"Used at 50-200 IU/kg diet (~100-400 g/ton of 50% form). Important antioxidant. Range $3500-6500/ton."
VITK3,Vitamin K supplement,vitamin,Menadione sodium bisulfite complex - 50% K3 activity,8000,2022-2024,Global,estimated,,,,"Water-soluble K3 form. Used at 0.5-2 mg/kg diet. Instability in premix is a known issue."
VITB1,Thiamine mononitrate,vitamin,Thiamine mononitrate - 90% thiamine,5000,2022-2024,Global,estimated,,,,"Used at 1-3 mg/kg diet. Unstable in high-moisture premixes."
VITB2,Riboflavin,vitamin,Riboflavin - ~96% purity,8000,2022-2024,Global,estimated,,,,"Used at 3-8 mg/kg diet. Relatively stable in premix."
VITB6,Pyridoxine HCl,vitamin,Pyridoxine hydrochloride - ~99% purity,12000,2022-2024,Global,estimated,,,,"Used at 1-4 mg/kg diet."
VITB12,Vitamin B12 supplement,vitamin,Cyanocobalamin - 0.1% form,120000,2022-2024,Global,estimated,,,,"0.1% form = 1 g B12 per kg supplement. Used at 10-30 g/ton of this form in diet."
NIACIN,Niacin,vitamin,Nicotinic acid - 99% purity,3500,2022-2024,Global,estimated,,,,"Used at 15-40 mg/kg diet."
PANT,Calcium pantothenate,vitamin,D-Calcium pantothenate - 98% purity,6000,2022-2024,Global,estimated,,,,"Used at 10-20 mg/kg diet."
BIOTIN1,Biotin supplement,vitamin,D-Biotin - 1% form (1 g biotin per 100 g product),80000,2022-2024,Global,estimated,,,,"1% diluted form for premix. Used at 0.2-0.5 mg/kg diet (~20-50 g of 1% form per ton feed)."
FOLICAC,Folic acid,vitamin,Folic acid - 97% purity,12000,2022-2024,Global,estimated,,,,"Used at 1-3 mg/kg diet. Important for reproduction in sows."
VITC,Vitamin C,vitamin,L-Ascorbic acid - 97% or coated form,2000,2022-2024,Global,estimated,,,,"Not routinely required; sometimes added in stress or heat conditions for nursery pigs."
PHYTASE,Phytase enzyme,enzyme,Microbial phytase - 5000 FTU/g granular form,7500,2022-2024,Global,estimated,,,,"Typical inclusion 500-1000 FTU/kg diet = 100-200 g/ton of this form. Provides economic benefit via P release."
XYLAN,Xylanase enzyme,enzyme,Xylanase - 500 U/g activity form,5000,2022-2024,Global,estimated,,,,"Used in wheat- or barley-based diets. Less commonly used in corn-SBM US diets."
VMIX,Vitamin-mineral premix,other,Complete vit-min premix for swine,700,2022-2024,USA,estimated,,,,"Typical US range $600-950/ton. Inclusion rate 2-5 kg/ton diet."
CORN,Yellow corn no. 2,energy,Grain - as fed basis,102,2022-2023,Brazil,literature,Corassa,2024,10.1590/1809-6891v25e-77350e,"Corassa et al. (2024): R$0.508/kg in Mato Grosso. Converted at ~5 BRL/USD. Northern Mato Grosso Institute of Agricultural Economics quotation."
SBM44,Soybean meal 44% CP,protein,Dehulled solvent extracted - 44% CP as fed,164,2022-2023,Brazil,literature,Corassa,2024,10.1590/1809-6891v25e-77350e,"Corassa et al. (2024): R$0.822/kg in Mato Grosso. Converted at ~5 BRL/USD."
DDGS,Corn DDGS,protein,Distillers dried grains with solubles - ~27% CP,90,2022-2023,Brazil,literature,Corassa,2024,10.1590/1809-6891v25e-77350e,"Corassa et al. (2024): R$0.45/kg in Mato Grosso. Converted at ~5 BRL/USD."
DCP,Dicalcium phosphate,mineral,Dicalcium phosphate - ~18.5% P / 22% Ca,456,2022-2023,Brazil,literature,Corassa,2024,10.1590/1809-6891v25e-77350e,"Corassa et al. (2024): R$2.28/kg in Mato Grosso. Converted at ~5 BRL/USD."
LIME,Limestone,mineral,Calcium carbonate - ~38% Ca,26,2022-2023,Brazil,literature,Corassa,2024,10.1590/1809-6891v25e-77350e,"Corassa et al. (2024): R$0.13/kg (calcitic limestone) in Mato Grosso. Converted at ~5 BRL/USD."
SALT,Salt,mineral,Sodium chloride - ~99.9% NaCl,26,2022-2023,Brazil,literature,Corassa,2024,10.1590/1809-6891v25e-77350e,"Corassa et al. (2024): R$0.13/kg in Mato Grosso. Converted at ~5 BRL/USD."
LLYS,L-Lysine HCl,amino_acid,L-Lysine HCl (78.8% Lys equivalent) - ~98.5% purity,950,2022-2023,Brazil,literature,Corassa,2024,10.1590/1809-6891v25e-77350e,"Corassa et al. (2024): R$4.75/kg in Mato Grosso. Converted at ~5 BRL/USD."
DLMET,DL-Methionine,amino_acid,DL-Methionine 99% purity,4594,2022-2023,Brazil,literature,Corassa,2024,10.1590/1809-6891v25e-77350e,"Corassa et al. (2024): R$22.97/kg in Mato Grosso. Converted at ~5 BRL/USD."
VMIX,Vitamin-mineral premix,other,Complete vit-min premix for swine,680,2022-2023,Brazil,literature,Corassa,2024,10.1590/1809-6891v25e-77350e,"Corassa et al. (2024): R$3.40/kg in Mato Grosso. Converted at ~5 BRL/USD."
